"","en"
"game_character_lore_FiddleSticks","For nearly twenty years, Fiddlesticks has stood alone in the easternmost summoning chamber of the Institute of War.  Only the burning emerald light of his unearthly gaze pierces the musty darkness of his dust-covered home.  It is here that the Harbinger of Doom keeps a silent vigil.  His is a cautionary tale of power run amok, taught to all summoners within the League.  Decades ago, there existed a powerful rune mage from Zaun - Istvaan.  At the end of the fifth Rune War, he became one of the League's first summoners.  Too much a prisoner to the old ways of magic, Istvaan stepped further and further outside the rules of conduct in the League.  In what was ultimately his last match, his reach finally exceeded his grasp.  Sealing himself inside the easternmost summoning chamber, he began incanting the most forbidden of rituals - an extra-planar summoning.<br><br>What exactly happened inside that chamber remains unknown.  No champion came to represent Zaun that day in Summoner's Rift.  Only silence echoed back from repeated knocks on the chamber door.  The first apprentice who entered was cut down immediately by an unearthly scythe.  What few who followed and survived were driven mad by fear, mere husks of men gibbering about crows and death.  Afraid of the evil even Istvaan could not control, the League sealed all exits to the chamber, hoping they could contain what they could not destroy.  Years went by, but the wooden figure within never moved save to slay any foolish enough to enter.  Seeing no recourse to reclaim the chamber, the Council instead devised a use for Fiddlesticks: executioner.  While he comes to life and seemingly abides by the rules of summoning in the Fields of Justice, what he awaits inside his chamber is unknown.  His unmoving face yields no clues, and his scythe stands ready to strike down any who stand before him.<br><br>Those who say 'you have nothing to fear but fear itself' have not yet felt the crows."
"game_character_lore_Fizz","Centuries ago, an ancient water-dwelling race built a hidden city beneath a mountain in the sea. Though these creatures had their enemies, the city was an impenetrable fortress, and, in the safety it provided, they grew complacent. Fizz, however, harbored a curious spirit that could not be satisfied living so cushioned a life. Unable to resist the allure of danger, Fizz had a habit of sneaking out of the city to look for trouble. In his many adventures he grew to be a powerful fighter with a keen resourcefulness that let him skirt danger with clever ease. One day, Fizz returned to find the city abandoned: his people had vanished, leaving Fizz without a clue to explain their disappearance. With nothing left in the city to keep him, Fizz salvaged an enchanted trident from the ruins and set out alone.<br><br>For years, Fizz wandered the ocean, using the skills he'd learned during his adventures as a young boy to survive. Finally, Fizz discovered the port of Bilgewater. He was fascinated with the existence of life above the water and could not resist exploring the island. In his endless curiosity, Fizz inadverently meddled in the affairs of the humans who lived there and his presence did not go unnoticed. His mischief angered many residents who eventually sought to capture or kill him. Fizz found himself cornered, and he prepared to return to the sea despite the fondness he'd come to hold for Bilgewater. As he stood at the docks, a massive dragon-shark attacked the port. Fizz defeated the beast, using his resourcefulness and knowledge of the creatures' weaknesses to his advantage. Having earned the gratitude and respect of the humans, Fizz decided to stay in Bilgewater. He joined the League of Legends to further serve his new home.<br><br>''Fizz makes even the saltiest sailors of Bilgewater look like drunken landlubbers in a fight. Good thing he's on our side.'' -- Miss Fortune, the Bounty Hunter."
"game_character_lore_Galio","Long before the League's regulation of such magic, mages experimented with the creation of artificial life.  Now forbidden, instilling golems with reason was once not so uncommon a practice amongst the more expert of craftsmen.  One such visionary was the Demacian artificer, Durand.  Peerless at crafting sentient beings, Durand's constructs served as tireless guardians for the border towns of his beloved city-state, affording them protection from their Noxian neighbors.  For his own defense, however, Durand kept his magnum opus: Galio.  This mighty construct - forged in the image of a gargoyle - kept him safe on his journeys, allowing him to perform his important work without fear of reprisal from those hostile to his homeland.  That is, until dealing with his taxing sentinels finally roused the ire of the Noxian High Command.<br><br>As Durand crossed the Howling Marsh with his masterwork in tow, he was set upon by Noxian assassins in force.  Outnumbered and overwhelmed, Galio looked on in horror as the murderers cut down his charge, executing him swiftly before vanishing back into the mists.  Stripped of his reason for being, Galio despaired.  For years he remained in solitude, standing vigil over the bones of the master he had failed to protect... a literal monument to his own everlasting shame.  Then, one nondescript day, a sad but determined yordle girl carrying a mighty Demacian crown stopped in the shadow of a great statue to rest.  Hidden in plain sight from his unsuspecting visitor, Galio studied the forlorn yordle.  She looked as though she too shouldered a tremendous burden.  As quietly and as stoically as she had arrived, she departed in the direction of Demacia.  This encounter lit a spark in Galio's eye.  Remembering the cause that his master had died defending, Galio arose from his silent purgatory and followed in the wake of this brave creature.  He had a new reason to live: to join the League of Legends and fight for the will of Demacia.<br><br>''There is no such thing as redemption.  Only penance.''  - Galio"
"game_character_lore_Gangplank","Gangplank was born the son of the dread pirate captain Vincent the Shadow - one of the most wealthy and feared pirates in all of Blue Flame Island.  One might think this would have spoiled the boy with a cushioned life of privilege, but the truth is quite the opposite.  Growing up in the city of Bilgewater isn't easy; pirates are not known for their compassion, and that most certainly extends to their families.  Vincent wanted his son to grow up tough and strong, so he was extremely hard on the young Gangplank.  Even as a child, Gangplank was as mean as a snake and is said to have slept with his eyes open.  As he grew, the young man rapidly became the most ruthless and feared pirate in all of Bilgewater, and his daddy was never more proud than on the day of his son's eighteenth birthday - when Gangplank stabbed his old man in the back and claimed the famed pirate ship, the Dead Pool, for his own.<br><br>The continent of Valoran, however, is a dangerous place for pirates; Gangplank could read the writing on the wall.  The den of pirates known as Bilgewater would soon be pulled down by the undertow of Valoranian politics and the Institute of War.  It was time for Bilgewater to have their own champion to represent them in the League of Legends, and who better than the fiercest pirate of them all?  It is said that Gangplank has enough power and favor to claim the title of the Pirate King back home, but that he is simply biding his time and building his reputation as a champion before he returns to a life of piracy.<br><br>Yo ho, blow the man down.  Or at least shoot him when his back is turned and steal all his booty."
"game_character_lore_Garen","Throughout Valoran, the resolve of Demacia's military is alternately celebrated or despised, but always respected.  Their ''zero tolerance'' moral code is strictly upheld by civilians and soldiers alike.  In combat, this means Demacian troops may not make excuses, flee, or surrender under any circumstance.  These principles are espoused to their forces by unrivaled demagogues who lead by example.  Garen, the valiant warrior who bears the title ''the Might of Demacia'', is the paradigm to which these leaders are compared.  Thousands of great heroes have risen and fallen on the bloody battlefields between Demacia and its preeminent rival, Noxus.  It was beneath their mighty banners of war that Garen first met steel with Katarina, the Sinister Blade.  The infantrymen who beheld this event (and survived) commented that it seemed as though the two were locked in a mortal waltz against a symphony of clashing blades.<br><br>Garen, the pride of the Demacian military and leader of the Dauntless Vanguard, returned from this battle breathless for the first time in his career, though some speculate that this was due to reasons other than exhaustion.  The plausibility of these rumors was bolstered when, in every instance thereafter, Garen seized the opportunity to encounter the Sinister Blade again.  A paragon of Demacian ethic, Garen never entertained such allegations, for he knew others couldn't understand.  Even simply the pursuit of a worthy opponent on the battlefield is, to a true warrior, the reason to rise each morning.  The promise of one, particularly so beautifully and diametrically opposed, is the validation of his existence. <br><br>''The most effective way to kill an opponent is to slice through the man next to him.'' - Garen, on front line strategy"
"game_character_lore_Ghast",""
"game_character_lore_GiantWolf",""
"game_character_lore_Golem",""
"game_character_lore_Gragas","The foothills of the Great Barrier are home to the hardiest people found anywhere on Valoran. Only those with great fortitude and endurance dwell in what is perhaps the most rugged and unforgiving environment anywhere on the face of Runeterra. It is here that the mighty Gragas keeps permanent residence, living south of Noxus. This behemoth of a man has long eschewed the rigors of civilization for what he calls his ''slice of paradise;'' he has no neighbors to bother him and plenty of space to pursue his life's ambition - brewing.  Grogs, ales, meads, and wine - nothing is beyond his skill to brew. What makes Gragas a truly special brewmaster, however, is his proximity to a large and powerful nexus.<br><br>The magic of this nexus has seeped into his fermented creations, and Gragas has consumed enough of his own poison over the years to slake the thirst of an army. This arcane alcohol has caused Gragas to swell both in height and girth; he looms over the tallest of men and boasts nearly twice their width. To complement his immoderate size, Gragas has developed an ornery temper - one fueled by liquor and raw magic. His infrequent sojourns into Noxus for supplies always unfold the same way: Gragas enters a Noxian tavern, Gragas gets into several fights, Gragas lays out countless citizens, and finally Gragas flees for the foothills with Noxian constables in hot - though reluctant - pursuit. His misadventures have garnered him the attention of several summoners in the League of Legends, and he is now a willing champion in the arenas...doling out hard liquor and harder fists.<br><br>The Rabble Rouser leaves a path of drunken destruction in his wake, both in the Fields of Justice and off."
"game_character_lore_Graves","Malcolm Graves was born in the back of a Bilgewater tavern and left there with a bottle of spiked milk.  He survived a childhood in the pirate-run slums using every dirty trick in the book.  Intent on building a new life for himself, he stowed away on the first ship to the mainland he could sneak aboard.  However, the grim realities of the world forced him to eke out an unsavory living in the underground of various city-states, jumping the border whenever things got too hot.  At a particularly high-stakes game of cards, he found himself seated opposite Twisted Fate.  They both flipped four aces on the final hand.  It was the first time either conman had met his equal.  The two formed an alliance, swindling marks at the tables and scrapping back-to-back in the alleys afterward.  Together, they ran the streets – stacking chips, decks, and charges.<br><br>Unfortunately Graves made the mistake of hustling a hefty sum from Dr. Aregor Priggs, a high-ranking Zaunite official and businessman.  When Priggs discovered how he'd been played, he became obsessed with revenge.  He learned about Twisted Fate's all-consuming desire to control magic and he promptly offered him a trade: serve Graves up in exchange for enrollment in a procedure which would grant his wish.  Twisted Fate took the deal – both he and Graves knew the stakes of their arrangement, but the offer was too good.  Once acquired, Priggs had Graves taken to a special location built to hold men whose crimes – or more precisely their punishments – were meant to stay off the books.  Graves endured years of captivity at the hands of Zaun's most unscrupulous wardens before he managed to escape.  One of his fellow detainees introduced him to an eccentric gunsmith who modified a shotgun exactly to his specifications.  After he paid a visit to Priggs, Graves joined the League of Legends with two targets in his sights:  Twisted Fate and payback.<br><br>''They got a saying in the locker: ain't got nothin' but time to plan.''<br>-Graves"
"game_character_lore_H28GEvolutionTurret","(Coming Soon)"
"game_character_lore_Heimerdinger","It is unusual to see yordles outside of Bandle City, but the lure of science was something Heimerdinger could not resist.  By the time he'd completed his third doctorate, he had already become the greatest of all yordle scientists and there was little his home could still offer him.  The great academies of Piltover far to the north called to him, daring him to make his mark in the City of Progress.  Knowing he would never thrive away from his own kind, Heimerdinger gathered like-minded yordles to join him in his quest, thus forming the backbone of the now famous Yordle Academy of Science & Progress.  Since then, he has become one of the most respected minds of the modern age and his academy is one of the leading institutions in all of Valoran.<br><br>Heimerdinger has pioneered many new scientific achievements, delving deeper and deeper into the field of techmaturgy, including the development of the now ubiquitous star-rods that light many of the streets of the city-states.  However, there is something strange about the Revered Inventor.  In his quest to expand knowledge, he underwent an experiment of his own design to allow him to use a greater portion of his brain simultaneously.  It most certainly worked, but at an unusual cost - Heimerdinger's brain increased in size.  His head changed along with it and now the great scientist looks like a yordle with a giant brain-shaped head.  Heimerdinger has turned his attentions to the current state of war on Valoran, however, and works to rectify what he considers is an unacceptable situation.  Heimerdinger believes that science is the key to saving the world.  Much more, he has rolled up his sleeves and is out to prove this as a member of the League of Legends - most definitely as the League's smartest champion!<br><br>Science is on the march.  Look out!"
"game_character_lore_Irelia","The Ionians have developed some of the most breathtaking and deadly martial arts on all of Runeterra - just one manifestation of their pursuit of enlightenment. The most remarkable blade style to emerge, however, was the unusual byproduct of foreign intervention. Master Lito was a swordsman whose teachings were sought by ruling classes from nearly every city-state. His art was a highly-guarded secret, but it was said that swords would breathe in his grasp. He withered unexpectedly from a mysterious disease which baffled the brightest of Runeterran physicians. When he died, he left behind Zelos and Irelia, his son and daughter, and a truly unique weapon. Zelos became a sergeant in the Ionian military and left to seek assistance from Demacia immediately prior to Noxus' invasion of Ionia. Irelia, charged with the protection of their home until Zelos returned, was alone when the Noxian forces struck.<br><br>The Ionians fought admirably, but soon Ionian blood stained the land beneath the prints of foreign boots. At the Great Stand of the Placidium, Ionians prepared for surrender, but were inspired to maintain their resistance when the young Irelia lifted her father's enormous blade and pledged to hold until her brother returned. In the chaos of the ensuing fight, Irelia was cursed with dark Noxian Necromancy. As her life ebbed, Soraka, the Starchild, made a final attempt to anchor her fading soul. Unwilling to relinquish her home, Irelia rose at the brink of death, and her father's sword lifted in the air alongside her. Irelia rushed back to the fore, unfazed by the blade's sudden animation. The weapon danced around her effortlessly, cutting down Noxians as they gaped in horror. The decimated invaders were forced to retreat from the Placidium. Irelia was appointed Ionia's Captain of the Guard, and when the defense of her homeland moved to the Fields of Justice, so did she.<br><br>'The sword flourishes, as though painting with blood.'<br>- Taken from a Noxian Field Report"
"game_character_lore_Janna","There are those sorcerers who give themselves over to the primal powers of nature, forgoing the learned practice of magic. Such a sorceress is Janna, who first learned magic as an orphan growing up admist the chaos that is the city-state of Zaun. Janna eked out what living she could on the streets. Life was tough and dangerous for the beautiful young girl, and she survived by her wits, and by stealing when wits weren't enough. The rampant magic that characterizes Zaun was the first and most alluring tool which Janna realized could both protect and elevate her. Janna discovered that she had an affinity for a particular type of magic - the elemental magic of air. She mastered her studies of air magic in a matter of months, almost as if she was born of it. Janna went from a street vagrant to an avatar of the air virtually overnight, stunning and surpassing those who taught her. Such a rapid ascension also changed her physical appearance, giving her an otherworldly look.<br><br>Seeking to right the injustice in the world (particularly the insanity that has become the city of Zaun), Janna has brought her talents to the League. She is a voice for the regulation of magical experimentation and a supporter of the development of techmaturgy, making her an indirect ally of the city-state of Piltover and the amazing techmaturgical minds that live there. Janna is also a new favorite of the League's many fans. She is often the center of attention at functions, fan appreciation days, and other celebratory events. There is something untouchable about Janna, however, and her affections can change as quickly as the wind.<br><br>Do not be captivated by Janna's beauty. Like the wind, she is one gust away from terrible destruction."
"game_character_lore_JarvanIV","As the royal family of Demacia for centuries, members of the Lightshield line have spent their lives waging war against any who opposed Demacian ethics. It is said that every Lightshield is born with anti-Noxian sentiment in his blood. Jarvan IV is no exception, even though he is the first Lightshield born to the age of the League of Legends. As his forefathers had before him, he led Demacian troops into bloody engagements with Noxian forces, and on many occasions he has bled alongside wounded allies and fallen comrades. In his most crushing defeat, he was outmaneuvered and captured by a Noxian battalion under the command of Jericho Swain. This mistake nearly cost him his life at the hands of Urgot, but he was rescued by the Dauntless Vanguard, an elite Demacian strike force led by Jarvan's childhood companion, Garen.<br><br>Those close to him believed that his capture changed him. Xin Zhao was quoted as saying: ''His eyes never seemed to look at you, only through you to something he could not look away from.'' One day, without warning, Jarvan IV handpicked a squad of Demacian soldiers and left Demacia, vowing to find ''atonement''. He began by tracking and hunting the most dangerous beasts and bandits he could find in northern Valoran, but he soon tired of such prey. Seeking something that only he understood, he ventured south of the Great Barrier. He wasn't heard from again for nearly two years. After many had assumed the worst, he returned to glorious fanfare on the streets of Demacia. His Demacian plates were adorned with the bones and scales of creatures unknown. His eyes bore the wisdom of someone twice his age. Of the twelve soldiers who had departed with him, only two returned. In a tone as cold and steady as steel, he swore to bring the enemies of Demacia to their knees.<br><br>''There is only one truth, and you will find it at the point of my lance.''<br>- the ''last words'' of Jarvan IV at his failed execution"
"game_character_lore_Jax","It is seldom the case where a champion is defined by his actions after joining the League of Legends rather than before. Such is the case with Jax, for whom the argument could be made that he is the most prolific tournament fighter currently at the Institute of War. Before joining the League, Jax was an unremarkable soldier-for-hire. For reasons known only to the former leader of the League, High Councilor Reginald Ashram, Jax was put on the top of the list of candidates to receive a League Judgment - the interview process that either accepts or rejects a prospective champion. His Judgment was the quickest in League history, where the Doors of Acceptance glowed and slowly swung open as soon as it began.  Jax faced no recorded Observation or Reflection during his Judgment.<br><br>Jax proved himself to be an immediate terror in the Fields of Justice. The self-proclaimed ''Armsmaster of the League'' rattled off a streak of consecutive wins that to this day has not been matched. A number of summoners in the League grew concerned that the perceived objectivity of the League of Legends would be questioned by the presence of an unknown fighter who was unbeatable. For this reason, the new leader of the League (following Reginald Ashram's disappearance), High Councilor Heyward Relivash, created special restrictions for Jax to fight under. This was something the League had never done before, and something that has never been done since. The burly fighter responded by imposing his own special conditions; as a means of protest, he permitted himself to fight using only a brass lamppost. Neither the League's sanctions nor his own has affected his winning ways. The League has since rescinded its sanctions, but Jax has not; he fights and fights well with his trusty brass lamppost.<br><br>''Be advised - there has been an outbreak of lamppost-shaped bruises in the League of Legends.''  - Gragas"
"game_character_lore_Judicator","In a world far away where an ancient war still rages, Kayle was a great hero - the strongest of an immortal race committed to destroying evil wherever it could be found.  For ten thousand years, Kayle fought tirelessly for her people, wielding her flaming sword forged before time itself. She shielded her delicate features beneath her enchanted armor, the sole remaining masterpiece of an extinct race of craftsmen.  Though a beautiful, striking creature, Kayle, now as then, avoids showing her face; war has taken a terrible toll upon her spirit.  In her quest for victory, she sometimes would try to lift the wicked up from their morass of evil, but more than often she instead purged those she herself deemed beyond redemption.  To Kayle, justice can so often be an ugly thing.<br><br>Ten years ago, Kayle's war against evil was nearly won... until her rebellious sister Morgana, a pariah amongst their people, suddenly gained powerful new allies: magicians of a hitherto unknown world called Runeterra.  Morgana traded servitude to a number of the summoners in Runeterra's League of Legends for powerful new abilities that, if mastered, threatened to bring Kayle and her people to their knees. To save her world, Kayle had no choice but to make a pact with the League herself.  She approached the leader of the League, High Counselor Reginald Ashram, with a deal of her own.  In exchange for a thousand years of Kayle's service, Ashram halted all League interference on Kayle's world.  With Ashram's disappearance five years ago, Kayle has new causes on Valoran: find out who or what caused Ashram to disappear, defeat her sister Morgana upon the Fields of Justice, and bring her own brand of justice to the League of Legends.<br><br>''In the League of Legends, Justice comes on swift wings.''"
"game_character_lore_Karma","Even in her youth, Karma exhibited almost superhuman composure. While her peers explored the torrent of emotions that came with adolescence, Karma meditated in the Lotus Gardens. She was convinced that the true path to enlightenment was a journey inward, to a place within the self, overlooked by most. She exuded such inner contentment that she quickly became a go-to mediator and confidante in her village. Her instructors used to say: ''That girl can not only weather a storm, but calm it.'' Karma did not live extravagantly; her parents owned a local business selling antiques in the Navori province and they often struggled to provide for themselves, though they did so with cheery optimism. Her most prized possessions were two exquisite fans taken from her family's shop.<br><br>When Noxian troops invaded southern Ionia, her village was one of the first to fall. The villages who survived the assault were captured by Noxian forces. It was then that Karma found her calling. By exploiting the insecurities of the Noxian commander, she negotiated the safe release of the villages to the northern lands. She was present at the Placidium, where the Elders had considered surrender until Irelia's impassioned last stand renewed the Ionian's hope. Karma used this hope to solidify the Elders' commitment to remain defiant against the Noxian onslaught. For her devotion and charisma, Karma was made the figurehead of the Ionian resistance. She never compromised, and she shared every hardship with her people, even when it came to combat. By tapping into her inner resilience, she discovered that she could bring great force to bear against her foes on the battlefield. She modified her fans into lethal implements, and was tutored by Janna to enhance their effects. The Noxians called her, ''The Enlightened One,'' a nickname she embraced, and one which they would come to dread. She joined the League to represent Ionia in the ultimate political arena.<br><br>''Her fan technique is a deadly art of grace and poise, but her truest strength lies in the hearts of those willing to die alongside her.''<br>-Irelia"
"game_character_lore_Karthus","The vast quantities of physical magic that were consumed and destroyed during Valoran's numerous Rune Wars have scarred much of Valoran.  Many locations far from civilization have been morphed into hazardous and dangerous locales.  The Howling Marsh is one of these places, and the self-appointed overlord of this land is the lich known as Karthus.  It is thought that Karthus was a mage who, in life, was foolish enough to enter the fetid waters seeking his fortune, and that he was forever transformed by whatever dark magic permeates the swamp.  Karthus now rules over his swampy dominion with an iron (albeit skeletal) fist.  Visitors are not welcome, and those who are not scared away by the lich's terrible power most likely end up as one of the undead themselves... skeletons and zombies in Karthus' growing army of eternal servants.  On the darkest of nights, Karthus is said to sing the tales of those who have succumbed to the swamp, past and present.<br><br>Karthus' tenure in the League of Legends is one of the more unusual ones in the history of the League.  First, it is highly unusual that a lich who was known for isolation and hatred of life would even be a willing part of an organization which promoted the preservation of life.  Next, Karthus specifically eschews the accrual of power and influence gained through service to the League; he is essentially an unpaid volunteer.  This behavior is completely different than what his life outside of the League would have onlookers believe.  Karthus has never spoken about his intentions in being a champion of the League, and in fact becomes quite agitated when asked about it.  In the interests of not aggravating a lich, most sensible people subsequently drop the issue.<br><br>''Come visit my home, and I shall sing a dirge of your life as it once was.''"
"game_character_lore_Kassadin","There is a place between dimensions and between worlds. To some it is known as the Outside, to others it is the Unknown. To most, however, it is called the Void. Despite its name, the Void is not an empty place, but rather the home of unspeakable things, horrors not meant for minds of men. Though such knowledge is lost in modern times, there are those who have unwittingly discovered what lies beyond, and they have been unable to turn away. Kassadin is such a creature. He was once a man forced to look upon the face of the Void and forever changed by what he saw. Once a seeker of forbidden knowledge, he discovered that what he sought was something else entirely. He is one of the few that has found his way to forgotten Icathia and lived to tell the tale, following the scant breadcrumbs hidden in ancient texts.<br><br>Within a decaying cyclopean city, Kassadin found secrets of the kind that he will never share - secrets that made him quake with fear at the visions of things to come that were thrust upon him. The power of the place threatened to consume him forever, but Kassadin took the only route available to him in order to survive - he let the Void inside him. Miraculously, he was able to overcome the alien urges that went with it, and he emerged as something more than human. Though a part of him died that day, he knows that he must protect Valoran from the things scratching at the door, waiting to get in and visit their torments upon the world. They are only one step away... something to which the appearance of the abomination known as Cho'Gath attests.<br><br>If you look upon the Void, you can't put it behind you. If you look upon Kassadin, he is probably already there."
"game_character_lore_Katarina","As a militaristic state, it would perhaps come as no surprise that the primary responsibilities of Noxian women are raising strong children and providing succor for husbands who walk the path of soldiery. There are some, however, for whom nurture is not nature, and Katarina is just such a creature. Born the daughter of the feared Noxian General Du Couteau, the girl was always more interested in her father's knives than in the dresses, jewelry, and other trifles that her sisters spent so much time fussing over.  A childhood dispute soon unveiled her uncanny knack for bloodshed, and her father, ever the opportunist, happily fostered her killer instincts. After training under the tutelage of the finest assassins the mighty city-state had to offer, Katarina first cut her teeth performing assassinations in the Ionian War. There, her ruthless mastery of the knife and dagger combined with her sadistic temperament to earn her the title Sinister Blade, a moniker that would follow her for the remainder of her career. She is most famous, however, for her exploits in the campaigns against Demacia, especially those surrounding her engagements with the nation's champion, Garen; a rivalry that began when she recovered the remains of Sion from a vanguard under his protection.<br><br>With the demand for warfare somewhat arrested by the tenuous peace settling over Valoran, Katarina sought the allure of violence in its last remaining haven: The League of Legends. Some might say it was an inevitability that Katarina's chosen path would draw her to become a champion of the League, continuing to enforce the will of Noxus and bring prestige of war to her noble family. There, she continues to perform her bloody work - esteemed and reviled, feared and adored.<br><br>''The Sinister Blade of Noxus is like a black widow - beautiful, but deadly.'' - Garen, the Might of Demacia, following a skirmish in the field"
"game_character_lore_Kayle","In a world far away where an ancient war still rages, Kayle was a great hero - the strongest of an immortal race committed to destroying evil wherever it could be found.  For ten thousand years, Kayle fought tirelessly for her people, wielding her flaming sword forged before time itself. She shielded her delicate features beneath her enchanted armor, the sole remaining masterpiece of an extinct race of craftsmen.  Though a beautiful, striking creature, Kayle, now as then, avoids showing her face; war has taken a terrible toll upon her spirit.  In her quest for victory, she sometimes would try to lift the wicked up from their morass of evil, but more than often she instead purged those she herself deemed beyond redemption.  To Kayle, justice can so often be an ugly thing.<br><br>Ten years ago, Kayle's war against evil was nearly won... until her rebellious sister Morgana, a pariah amongst their people, suddenly gained powerful new allies: magicians of a hitherto unknown world called Runeterra.  Morgana traded servitude to a number of the summoners in Runeterra's League of Legends for powerful new abilities that, if mastered, threatened to bring Kayle and her people to their knees. To save her world, Kayle had no choice but to make a pact with the League herself.  She approached the leader of the League, High Counselor Reginald Ashram, with a deal of her own.  In exchange for a thousand years of Kayle's service, Ashram halted all League interference on Kayle's world.  With Ashram's disappearance five years ago, Kayle has new causes on Valoran: find out who or what caused Ashram to disappear, defeat her sister Morgana upon the Fields of Justice, and bring her own brand of justice to the League of Legends.<br><br>''In the League of Legends, Justice comes on swift wings.''"
"game_character_lore_Kennen","There exists an ancient order originating in the Ionian Isles dedicated to the preservation of balance. Order, chaos, light, darkness -- all things must exist in perfect harmony for such is the way of the universe. This order is known as the Kinkou and it employs a triumvirate of shadow warriors to uphold its causes in the world. Kennen is one of these shadow warriors, entrusted with the sacred duty of Coursing the Sun - tirelessly conveying the justice of the Kinkou.<br><br>Kennen was born in Bandle City and it was said that in his first living moments he bolted first from the womb and second from the midwife who delivered him. His parents had thought that he would outgrow his boundless energy, but as he matured his energy found no limits and was matched only by his unnerving speed. Despite his astonishing gifts, he remained unnoticed (or at least uncaught, as he was quite the prankster) until, on a dare, he ran straight up the great outer wall of the Placidium. When word of this feat reached Kinkou ears, Kennen was quickly and quietly brought in for an audience. He found that the role of the Heart of the Tempest suited him, frenetically delivering both the word and the punishments of the Kinkou across the realm. He now works with his fellows Akali and Shen to enforce the balance of Valoran. This hallowed pursuit has unsurprisingly led the triumvirate to the Fields of Justice.<br><br>''The Heart of the Tempest beats eternal...and those beaten remember eternally.''"
"game_character_lore_KogMaw","When the prophet Malzahar was reborn in Icathia, he was led there by an ominous voice which thereafter anchored itself to his psyche. From within, this voice bestowed upon him terrible purpose, and though Malzahar was no longer tormented by its call, the voice did not cease its unrelenting summons. This baleful beacon's gentle flicker -- now fastened to Runeterra -- drew forth a putrid beast that ambled across a threshold it did not understand, widening a fissure between the spaces which were never meant to meet. There amongst the haunting ruins of Icathia, Kog'Maw manifested in Valoran with unsettling curiosity. The spark which led him to Runeterra teased him still, urging him gently towards Malzahar. It also encouraged him to familiarize himself with his new environment, to the stark horror of everything he encountered on his journey.<br><br>The enchanting colors and aromas of Runeterra intoxicated Kog'Maw, and he explored the fruits of the strange world the only way he knew how: by devouring them. At first he sampled only the wild flora and fauna he happened across. As he traversed the parched Tempest Flats, however, he came upon a tribe of nomads. Seemingly unhampered by conventional rules of physics, Kog'Maw consumed every nomad and any obstacles they put in his way, amounting to many times his own mass and volume. The most composed of his victims may have had time to wonder if this was due to the caustic enzymes which stung the ground as they dripped from his gaping mouth, although such musings were abruptly concluded. When his wake of catastrophe reached the Institute of War, an enthusiastic Malzahar greeted him with an enticing prospect: taste the best Runeterra could offer...on the Fields of Justice.<br><br>'If that's just hungry, I don't want to see angry.' --Tryndamere, the Barbarian King"
"game_character_lore_Leblanc","Every city has its dark side, even one whose reputation is already of a questionable hue. Noxus - though its name is already invoked with a mixture of reverence and revulsion - is no exception to this simple truth. Deep within the winding dungeons that honeycomb the earth beneath its dark, meandering streets lies the real underbelly of this sprawling metropolis, a haven for all manner of malevolence. Amongst the cults, covens, and secret societies that call this labyrinth their home, LeBlanc, the Deceiver, presides over the Black Rose, a remnant from a lost, yet similarly unscrupulous time in Noxian history. Ruthless and seemingly ageless, LeBlanc and her ilk were a mainstay in Noxian political affairs during the era before the militarization of the Noxian government. In those days, this guild of powerful magicians met in secret to further their hidden agenda, and to hone a craft more subtle than that preferred by those currently in power.<br><br>While their exact motives have always remained mysterious, it was widely believed that the Black Rose was the true power behind the throne while the aristocracy still reigned in Noxus. When raw martial prowess became the ultimate determination of whose will held sway in the Empire, the Black Rose seemed to vanish overnight. Many believed that perhaps their time had simply passed, and that its members had put aside their quests for social and political dominance. When LeBlanc reemerged at the gates of the Institute of War, however, it became clear that these masters of shadow and flame had simply been biding their time, waiting for a new global authority to emerge: the League of Legends.<br><br>''The world is very different for those who cannot see beyond what is placed before their very eyes.'' -LeBlanc, the Deceiver"
"game_character_lore_LeeSin","As a young teen, Lee Sin was intent on becoming a summoner. His will and dedication were unmatched by any of his peers, and his skill drew the attention of Reginald Ashram, the League's High Councilor at the time. While studying at the Arcanum Majoris, Lee Sin became frustrated with instruction paced for the other students. He spent his free time researching the nuances of summoning in hopes of graduating sooner. He made amazing advances in his arcane studies, surpassing all other students. By all indications, he would have become one of the League's greatest summoners were it not for one terrible mistake. Too impatient, he attempted to test his ability by summoning a beast from the Plague Jungles. What he summoned instead was a young boy, but not in one piece. He barely had time to look the boy in what was once his face before the jumbled human mass fell lifeless to the floor. A League investigation later revealed that the boy's entire village was obliterated by feedback from the ritual.<br><br>Lee Sin's talents were so promising that the League was willing to overlook the incident, but he could never forgive himself. He left the Institute and journeyed to the Shojin Monastery for eternal repentance, swearing never to practice magic again. Years later, hoping to atone for his crime with martyrdom, he set himself ablaze as a protest of the Noxian occupation of Ionia. He remained alive in this state, enduring searing agony for weeks. His actions paved the way for a League match wherein Ionia prevailed, but by the time he was doused, his eyes had been burned completely from their sockets. Hailed as a savior, he was reborn, and his will to act invigorated. He joined the League of Legends to continue his atonement with sweat and blood, a true monk's only possessions.<br><br>''The actions of one may sunder the world, but the efforts of many may rebuild it.'' - Lee Sin"
